"","Donors","SC_MZ_REG_slope","OLS_MZ_REG_slope","REGOLS_MZ_REG_slope","NET_MZ_REG_slope","FACTOR_MZ_REG_slope","UNIDYN_MZ_REG_slope","MULTIDYN1_MZ_REG_slope","MULTIDYN2_MZ_REG_slope","MULTIDYN3_MZ_REG_slope","VAR_MZ_REG_slope","SC_MZ_REG_inter","OLS_MZ_REG_inter","REGOLS_MZ_REG_inter","NET_MZ_REG_inter","FACTOR_MZ_REG_inter","UNIDYN_MZ_REG_inter","MULTIDYN1_MZ_REG_inter","MULTIDYN2_MZ_REG_inter","MULTIDYN3_MZ_REG_inter","VAR_MZ_REG_inter","POST_SC_RMSFE","POST_OLS_RMSFE","POST_REGOLS_RMSFE","POST_NET_RMSFE","POST_FACTOR_RMSFE","POST_UNIDYN_RMSFE","POST_MULTIDYN1_RMSFE","POST_MULTIDYN2_RMSFE","POST_MULTIDYN3_RMSFE","POST_VAR_RMSFE","PRE_SC_BIAS","POST_SC_BIAS","PRE_OLS_BIAS","POST_OLS_BIAS","PRE_REGOLS_BIAS","POST_REGOLS_BIAS","PRE_NET_BIAS","POST_NET_BIAS","PRE_FACTOR_BIAS","POST_FACTOR_BIAS","PRE_UNIDYN_BIAS","POST_UNIDYN_BIAS","PRE_MULTIDYN1_BIAS","POST_MULTIDYN1_BIAS","PRE_MULTIDYN2_BIAS","POST_MULTIDYN2_BIAS","PRE_MULTIDYN3_BIAS","POST_MULTIDYN3_BIAS","PRE_VAR_BIAS","POST_VAR_BIAS"
"139",6,1.04929827240532,1.33250011583332,1.30774175453495,1.83990144160065,1.01375855282276,1.26351858647883,0.38877587183279,0.786259980805451,0.700216287300653,0.777207804528035,-0.830269323360277,-0.817426260522832,-0.763467399685455,-1.01633653174958,-0.183787892075409,-0.479118557013432,-0.611188775109353,-0.742128046993057,-0.51006634277186,-0.325085703049523,1.4203405273853,1.25647035802819,1.21794502207769,1.4786431067796,1.94259809165521,1.32553023007195,3.67641869314685,1.78977211283947,1.83744073732529,1.50030000279507,0.431919090265503,0.752961997875658,-9.55225482046629e-17,0.410037142057452,6.18359530246693e-16,0.391972280530347,1.06503347807596e-16,0.18025686799565,4.11216199980302e-17,0.170229900930851,3.58102942553858e-17,0.209177837972688,0.172300482339213,2.85371187414353,0.139266814239431,1.16547631503521,-2.81025203108243e-16,1.07744978139739,4.27889422389508e-16,0.6519547380834
"140",6,0.886528356060874,0.862638433246695,0.985189558700802,0.89878972323229,0.844011050520047,1.06753813037914,1.00908576957322,1.04772599100767,1.05194816724813,0.264024718357238,0.357643236626212,0.511883165402642,0.0831526130916883,0.44310895963731,-1.74397930580884,-0.352429883189111,0.0174897259887037,0.0867180613911702,0.596268410723382,1.1961503892812,1.34413161609054,1.37112098571927,1.14319584857287,1.30817463360962,2.48542273043349,1.09765231152838,0.970566485536961,0.943799389346511,1.21111833651427,5.52875730963898,-0.657977216114239,-0.384151946023729,-3.40810821404525e-16,-0.569421896358151,3.064508282552e-16,-0.0821396226337358,1.59854768311263e-16,-0.47605473285162,-3.20490162186715e-18,2.09412111578611,1.34161266171293e-16,0.320609548446803,-0.0658773211278068,-0.0186876755723107,-0.134440445310731,-0.0896251252380734,3.41740524767431e-16,-0.574256920304313,-2.4273393240969e-14,-4.1108238947837
"141",6,0.875349856188588,0.677316687906739,0.962213256453545,0.769102511808049,0.906943499751338,1.51888485073695,0.725168580644707,1.00502622799023,1.07678635195076,0.809541802244231,-1.17655916656739,-0.333905817907249,-0.723676591319536,-0.421855479878639,-0.349906607786299,-0.966145215582985,-0.42454106689496,-0.819510422117019,-0.469530038548903,-0.152622789903298,1.70641019681622,1.26175489100853,1.33602031196355,1.21912163247466,1.24577275143907,1.12197216288706,1.37645572607209,1.37276516680294,0.987244904170784,0.927289284639732,0.47097466091592,1.37409230166838,-2.30948073165482e-16,0.593320008012562,-2.39208305941041e-14,0.760366562529873,3.57498319142335e-16,0.611731671517119,-2.22218077272629e-17,0.40741795072296,8.09396449964634e-17,0.564140101698455,0.152269370729146,0.665256062561516,0.12725981701409,0.814358705185645,-7.99323816500202e-17,0.421028933661808,1.82131893642728e-15,0.238078913022091
"142",6,1.12950994042299,1.71286756984569,17.3999136450481,2.8411626628531,2.50184191323646,1.29955900382221,8.80391352465723,10.2428977293781,1.11192205124725,0.829207353841363,0.598609631707321,-0.662171267220714,-29.3786786606332,-2.69470410422249,-2.23496952189413,-0.196327567321415,-15.0007989682794,-17.7507435661454,0.0506621626453769,0.586598704415212,1.36445978218664,1.24109248949486,1.54412001822946,1.31529658268356,1.38682861580233,1.29011961091981,1.48507675440712,1.50117010801429,1.22506462581931,1.17870760989766,-0.307210197458633,-0.750484730805645,6.87817858224804e-17,-0.413807886391316,9.45942543045808e-16,-0.124209344823699,-8.44018865214791e-17,-0.297826890756173,-3.77822773067749e-17,-0.261141961636759,0,-0.292235242476713,0.154763167125141,-0.000851390683473441,0.141214544457948,-0.0024377867141237,-2.56739074444567e-16,-0.239142571519203,-2.3040597207924e-14,-0.311302700227476
"143",6,0.0883784713531852,0.352654579820945,0.715654260481643,0.386691858402288,0.445293471360228,0.407462705024935,-0.562456665823675,-0.73165503670275,0.633922038034958,0.508533734087362,1.47874177730811,1.01370320496038,0.446251891536549,0.957502687341655,0.843764567067435,0.952717875131829,2.54185489325535,2.79371323893228,0.452264666911585,0.676774081956052,1.36705541861367,1.27641926018534,1.15372073746266,1.24649889995427,1.20984741278274,1.20722716827208,1.26243614932365,1.25181780075348,1.12067117518325,1.20275606018859,-0.0356713718250424,0.197176127792602,-1.54262453505583e-16,0.138181960222071,1.00431815641677e-16,0.0285345963374353,-1.88744419399312e-16,0.12689300047444,-1.16053000542848e-17,0.149628741154143,3.58125530099118e-17,0.0485046972021523,-0.174940936636268,-0.0399570240268349,-0.152907488451388,-0.0660240572692137,2.02311843041479e-16,0.234332233339972,7.31246027994616e-15,0.25529919167367
"144",6,0.40533869896839,0.759280964500218,0.696416653982834,0.915598431999598,0.71589573108923,1.40939386420957,0.640596140670716,0.729769561574501,0.768956844047631,0.614825447024563,1.09609456354062,0.513940865609548,0.569174888464466,0.190855064654645,0.554925011987452,-0.765005344549188,0.630915265280155,0.409292359224279,0.559222018090994,0.789355254806335,1.42618472296145,1.15058251687949,1.1772060683518,1.14467411641281,1.17174852355498,1.14486596164391,1.13950639787072,1.14941194250844,1.13969029475199,1.2041510418413,-0.0390309052197725,-0.291834745756927,1.75406564273395e-16,-0.155576299005618,-5.81735180860132e-16,-0.100503406845125,1.73191539235007e-16,-0.0568736388035191,0,-0.122604239079795,6.01585386685264e-17,0.0651615416070782,0.170198746870769,-0.0623588718384411,0.180414207243837,0.0480261699103231,-1.64230653454505e-16,-0.233195584880307,4.31946145518225e-15,-0.253750141573752
"145",6,0.646370484789591,0.800742596945314,0.69461125620664,0.922036791905999,0.833675792315268,1.56090629296266,0.911445888763951,0.866738039729513,0.987068463451769,0.78832247439687,0.270782781343174,-0.16580431538405,0.0190539093515032,-0.426418564939725,-0.16109686728009,-1.97252273687183,-0.353649328360675,-0.225153680690231,-0.484423006704728,-0.449356841605904,1.06074520554206,0.929434986193554,1.09284484341166,0.848795000771825,0.913293653970865,1.07575143976606,1.06258671002329,1.02361729260268,0.998582519950612,1.4376758263329,-0.202278522604812,0.438544277196176,5.84003331804972e-16,0.597072253106996,4.17886656405267e-07,0.661640599594452,-3.23684221786857e-16,0.594998590773551,6.38616763637412e-17,0.505924991874487,9.20668344802274e-18,0.700498304345936,-0.0504385698791681,0.540284972833504,-0.0498775964624393,0.50074604812353,-2.92591438003e-16,0.511302580180381,-1.89663128274562e-14,0.990863311032102
"146",6,0.103274800684973,0.158071537322384,0.286333421974192,0.158688194185179,1.03754659967496,0.539255848950321,0.296870561255529,0.417022301262809,0.51815100767149,0.464938679919575,0.596620982265904,0.626377627980819,0.55210262147894,0.6109206707348,-0.0378482282903251,0.290346253340201,0.551302578770048,0.370421916241176,0.331458877840303,0.508064384598374,1.60807084781333,1.42435998891513,1.38281703435558,1.39095520772465,1.18443120377541,1.30553053819436,1.42811533273804,1.35603732366836,1.31005957705352,1.37402159343824,0.762963951163807,0.498228688921689,-7.49400541621981e-16,-0.113268469799916,-2.29596723577696e-15,-0.126866490788024,-4.10262102068515e-17,-0.0182321702617482,9.16335150119574e-17,0.0103251188998848,-3.57899654646517e-17,0.0790715336515158,0.161299687398052,-0.145320596527676,0.247549767939941,0.122065330666172,-1.11022302462516e-16,0.0323842219532122,1.89639970393785e-14,-0.261041562144924
"147",6,1.04275585548826,0.921763601825876,1.00535309036378,0.927555922941205,1.2661931719661,0.838996424940611,1.18104860932325,1.24028340748695,1.05364169043458,0.876956134825868,-2.47665942106918,-0.734539055216379,-0.750169666023386,-0.734210636868391,-1.27236669493109,-1.03440177829023,-1.35805686010157,-1.86131077040016,-0.0499606146351336,0.0245241326933788,2.98212460299695,1.48412002173251,1.53802305803125,1.48518289316347,2.1348481449592,1.57847296045423,1.83830669379448,2.2453040665596,1.04440800292697,1.30759373961595,1.20421230958043,2.44778616454835,-7.26172594278651e-16,0.646441817238896,1.80762032902723e-09,0.755613051228016,-1.5557867494298e-16,0.653119540008938,6.99006824644854e-17,1.37750623897752,-5.55111512312578e-17,0.892764263061111,0.28251100241361,1.42158590209332,0.412234708962535,1.84410151299173,-7.28583859910259e-17,0.137655414460605,3.29484974460198e-15,-0.276658110428753
"148",6,0.400698521961656,0.768163988538922,1.02809568094096,0.950166966636382,0.948530351705014,1.44690049512418,1.29062165733239,1.30363658152769,0.967839090586216,0.767710012690769,1.20633908026439,0.305019399588168,-0.553983966101544,-0.158431548431059,-0.682877733112935,-1.49019003945684,-1.77264235265399,-1.78044042874381,-0.225811933961027,0.121054024105176,1.62742116759268,1.27108004083049,1.29089985817952,1.2651951683061,1.47928348267438,1.06686482486312,1.265163604845,1.25304756514544,0.865276360636936,1.08049313863782,-0.512527377230497,-0.377939035257123,-1.15899911196093e-15,0.134166445135796,5.07476005662255e-15,0.490741801238836,1.15532583500055e-16,0.25905805111104,-8.77770078844264e-17,0.815446105751193,-1.48065876689104e-16,0.486245650383461,0.123326260166118,0.9771149717141,0.126142321950311,0.955768480876526,-8.54651726270537e-16,0.291806822792617,6.30236637526865e-14,0.374915394430863
